movieCd,movieNm
19640025,맨발의 청춘
19640076,게르트루드
19648003,백설공주
19648004,보석 강탈 작전
19648007,일그러진 거울의 왕국
19648008,러브 앤 플라워스
19648009,지상 최대의 서커스
19648010,핑크 팬더 2 : 어둠 속에 총성이
19648012,비틀즈: 하드 데이즈 나이트
19648014,검은 튤립
19648015,마니
19648016,파리의 나자
19648017,카니발
19648018,로빈 후드
19648019,떠날 때는 말없이
19648020,줄루
19648021,붉은 사막
19648022,633 폭격대
19648023,사랑 그리고 독신녀
19648024,대 열차 작전
19648027,알레 프랑스
19648028,꽃과 성난 파도
19648029,고르곤
19648030,불타는 수단
19648031,클레오파트라의 음모
19648032,닥터 스트레인지러브
19648033,007 골드핑거
19648035,뜨거운 포옹
19648036,공포의 환상
19648037,비키니 대소동
19648038,이웃만들기
19648039,킬러
19648040,가야금
19648041,공작부인
19648042,말 없이 바치련다
19648043,명동에 밤이 오면
19648044,목단등기
19648045,목숨보다 더한 것
19648046,목요일에 만납시다
19648047,몸부림 치는 젊은이들
19648048,미녀와 도적
19648049,벽오동 심은 뜻은
19648050,보고 싶은 얼굴
19648051,부부 전쟁
19648052,빗나간 청춘
19648053,사자성
19648054,세드 무비
19648055,아가씨를 조심하세요
19648056,아내는 고백한다
19648057,아랑의 정조
19648058,아스팔트
19648059,아카시아에 비 오는 밤
19648060,여자 19세
19648061,욕망의 결산
19648062,욕탕의 미녀사건
19648063,용서받기 싫다
19648064,용의자
19648065,위험한 육체
19648066,이별만은 슬프더라
19648067,잃어버린 태양
19648068,잉여인간
19648069,처녀성
19648070,천안 삼거리
19648071,체포령
19648072,추격자
19648073,형부와 새언니
19648074,이태리식 결혼
19648075,붉은 살의
19648079,세종대왕
19648081,원더풀 라이프
19648082,오빠
19648083,최후의 총잡이
19650001,닥터 지바고
19650005,사랑의 배달부
19650012,가슴을 펴라
19650013,너를 노리고 있다
19650018,민며느리
19650038,가시나이
19650039,날개 부인
19650041,무명가의 지배자
19650042,무정의 사십계단
19650043,북에 고한다
19650046,빗속에 지다
19658003,위대한 생애
19658004,엘비스 프레슬리의 해럼 스케럼
19658006,얄개전
19658007,하이디
19658010,서부의 4형제
19658011,악령의 미스테리
19658014,쌍무지개 뜨는언덕
19658015,자도이찌
19658016,007 제4편 : 썬더볼
19658017,알파빌
19658019,사냥
19658020,비틀즈의 헬프
19658021,여자의 길
19658022,영혼의 줄리에타
19658023,바람 속의 질주
19658024,메이저 던디
19658025,바보들의 배
19658026,발지 대전투
19658027,베드포드 사건
19658028,베이비
19658029,수집가
19658030,압록강아 말하라
19658031,미치광이 삐에로
19658032,내가 본 파리
19658033,문신일대
19658035,혐오
19658036,로우드 짐
19658037,플레샤포이드의 원죄
19658045,불량 소녀 장미
19658047,살아야 한다
19658048,살인마
19658049,아빠 돌아와요
19658050,암흑가의 사자
19658051,애수의 밤
19658052,어떤 정사
19658053,어머니의 청춘
19658054,여자가 고개를 넘을 때
19658055,여자만이 울어야하나
19658056,여자의 샘터
19658057,유부녀
