CompanyCd,CompanyNm,companyPartNames,ceoNm
20242161,㈜지나니모,"제작사,배급사,수입사","전인하, 안윤희"
20154468,영화사 우상,제작사,"김우상, 진문화"
20160181,주식회사 포스트핀,"제작사,배급사,상영업",나일선
20169489,순리필름,제작사,정민우
2019642,승필름,제작사,홍승대
20242144,에스티비와이,제작사,김재현
20241601,(주)아티스트유나이티드,배급사,이태성
20063009,(주)티캐스트,"제작사,배급사,수입사,상영업",엄재용
20062956,(주)포켓몬코리아,"제작사,수입사",임재범
20242143,미러볼 스튜디오,제작사,양기원
20239669,스튜디오설 ,제작사,"김석목, 조훈연"
20242141,더블스택,부가시장,
20242121,스튜디오 프로미넌트,부가시장,송준수
20100185,동우에이앤이(주),"제작사,배급사,수입사",김영두
20242103,주식회사 티켓플레이스,제작사,한준희
20242102,비온드스토리 주식회사,"제작사,수입사",이상직
20218102,터미널극장 주식회사,상영업,전우석
20050075,영화사 혼,"제작사,배급사",정경숙
20242101,큐엠씨엔씨 주식회사,부가시장,나지훈
20242066,주식회사 케이브로콘텐츠,부가시장,권영규
20229581,(주)레드아이스 엔터테인먼트,"제작사,배급사,수입사",한상욱
20229048,주식회사 빅펀치픽쳐스,제작사,이단
20217647,주식회사 원스크린,"제작사,배급사,수입사",신동섭
20242082,미디어센터내일,"제작사,배급사,상영업",김민재
20242081,(주)영화사백호,제작사,
20242065,스튜디오 이상한 나라의 원더랜드,"제작사,배급사",정연
20189501,비바필름,제작사,이종호
20161342,영드래곤 미디어,제작사,이영용
20241868,스튜디오 호호,제작사,강동헌
20160001,영화사 리듬앤블루스,제작사,이주환
20241905,주식회사 유엠아이엔터테인먼트,제작사,이우미
20229321,해시브라운 스튜디오,제작사,박한울
20242064,(주)에스피랩,제작사,안용남
20100651,(주)보경사,제작사,심보경
20242063,㈜디엠티랩스,제작사,JIN YUN
20218081,(주)쇼나우,제작사,김영대
20230445,(주)라이브러리컴퍼니,"제작사,배급사,수입사",채진아
20242061,작당모의,상영업,신성일
20156568,주식회사 몬스터컴퍼니,제작사,김용기
20242041,스크린엑스 스튜디오,,
20230132,뉴크마그(주),"제작사,배급사,수입사",오금이
20241969,한류닷컴 주식회사,"제작사,공동제작사",남제남
20156908,마루아트센터(주),"제작사,배급사",엄혜경
20241823,한량사,제작사,최승우
20242021,(주)유니벌유즈,"제작사,공동제작사",임재완
20153888,밑그림하우스(주),제작사,김윤실
20242002,알라딘엔터테인먼트,제작사,황인석
20242001,(주)유비매니지먼트그룹,제작사,채정석
20241968,(주)노느니특공대엔터테인먼트,제작사,김형석
20218063,레프로덕션,제작사,정호윤
20231322,주식회사 깨칠이스튜디오,"제작사,배급사",이태윤
20241625,주식회사 투맨필름,제작사,송원석
20188144,드림팩토리,제작사,백승균
20241967,주식회사 별빛소년,"제작사,배급사",박선재
20241965,NIC필름&매니지먼트,"제작사,소속사",김진규
20100036,㈜인디스토리,"제작사,배급사,수입사,해외세일즈사", 곽용수
20191381,(주)캐리소프트,"제작사,해외세일즈사",박창신
20142968,(주)콘텐츠판다,"제작사,배급사,수입사,상영업",유제천
20205601,(주)스튜디오 보난자,"제작사,배급사,수입사,상영업",채희승
20230718,일석삼조 영화사,제작사,김명희
20241964,라이픽쳐스,제작사,김상훈
20188143,금산시네마,상영업,박정미
20231361,(주)더 메이커스 스튜디오,제작사,
20188221,(주)제이엠로드,제작사,정승호
20188161,후앤유아츠(주),제작사,김승후
20241981,마름모,제작사,
20241963,(주)미학인 우주선,제작사,
20241941,주식회사 스튜디오빌,"제작사,공동제작사,제공,공동제공",최재호
20241962,메타필름,제작사,임충근
20241961,시네마 포브,제작사,이윤규
20230381,헤븐리 주식회사,"배급사,수입사","정주형, 장지혜"
20229143,(주)허그아이엔티엘,"제작사,배급사,수입사,상영업",박상현
20216842,(주)하이스트레인저,"배급사,수입사,제공,공동제공",김동국
20161162,팔팔애비뉴(주),"제작사,배급사,수입사",김요환
20218245,작업장 봄,제작사,
20241722,주식회사 디믹스스튜디오,"제작사,배급사",김영민
20241896,시현이앤씨,제작사,주선홍
20241890,시네마루,제작사,정지혜
20231282,허스키,"배급사,수입사,저작권관련사",박지윤
20241895,플러스포인트원,"제작사,공동제작사",오영정
20241894,파이엔터테인먼트(주),제작사,조광희
20241923,주식회사 제이호컴퍼니,제작사,김재호
20241824,해방 필름,제작사,"조세원, 이다윗, 남민우"
20154429,(주)인스터,제작사,정찬희
20241893,주식회사 고즈언스튜디오,제작사,최우인
201921,오리진필름(주),제작사,권소은
20187223,리메인프로덕션,제작사,김민경
20101126,라라픽처스,제작사,김아론
20241892,썬,제작사,주선홍
20100558,(주)바른손이앤에이,"제작사,배급사,수입사,제공",최윤희
20124855,(주)옴니원,제작사,조정호
20241922,데드오프필름,제작사,홍여진
20241633,보리수나무영화사,"제작사,배급사",이종수
20241891,에이전시 레인보우,수입사,"한승환, 임명화"
20173681,애니맥스 브로드캐스팅 코리아 유한회사,"배급사,수입사",전승택
20130017,(주)로케트필름,제작사,김영진
20241904,준스튜디오,제작사,김형준
20241889,주식회사 스튜디오힘,제작사,안일환
20230721,(주)더샹그릴라,제작사,신상철
20241901,모디르 스튜디오,"제작사,배급사",나도율
20241903,필름38,제작사,"정재훈, 최우식"
20241902,해와달,제작사,조윤선
20241888,언컷,제작사,권한슬
20241887,몽상,"제작사,배급사,수입사",민지현
20241886,스타플래티넘 유한회사,"제작사,배급사",한희성
20241884,괴수도감 픽쳐스,제작사,강우진
20241885,란코,제작사,"정여진, 최범규"
20205341,(주)지티지그룹,제작사,송상민
20241883,룩,제작사,조성빈
20241882,하이플리,부가시장,
20241881,골든슬레이트필름,제작사,변정욱
20241799,주식회사 표정의의미,제작사,김종찬
20192162,블루버드픽처스,제작사,이승준
20241798,에고프,제작사,이진영
20241867,선데이픽션,제작사,송승석
20241866,페셰,제작사,이우열
20241797,정필름,제작사,정해일
20241865,무중력카메라,제작사,최진영
20241863,왜가리필름,제작사,최범석
20241862,씨엘투디필름,배급사,이형석
20190201,에스투비,제작사,박정서
20241796,(주)스튜디오애니,제작사,박정서
20241861,(주)섬필름,제작사,서지민
20217542,런앤건,"제작사,배급사",장권호
20231081,주식회사 제이콥홀딩스,"제작사,배급사,수입사,상영업",유정민
